price,flooring,water_availability_hours,available_units,towers,locality_rank,locality_rating,locality_review_count,environment_rating,commuting_rating,places_of_interest_rating,rera_id,electricity_availability_hours,construction,ownership,authority_approval,bed,bath,parking,area,flat_on_floor,total_floor,lift,balcony,lattitude,longitude,project_in_acres,project_age_months,builder,project_name,furnish,city,location,property_type,status,extra_rooms,facing,seller,overlooking,bath_bed_ratio,bed_area_ratio,bed_bath_ratio,bed_balcony_ratio,project_density,compactness_ratio,floor_ratio,remaining_floors,area_per_bedroom,area_per_bathroom,area_per_balcony,area_per_parking,balcony_to_bed_ratio,parking_to_bed_ratio,lift_to_total_floor_ratio,distance_to_center_km,education_mean_km,education_min_km,education_within_2km,transport_mean_km,transport_min_km,transport_within_2km,shopping_centre_mean_km,shopping_centre_min_km,shopping_centre_within_2km,commercial_hub_mean_km,commercial_hub_min_km,commercial_hub_within_2km,hospital_within_2km,tourist_within_2km,overall_min_mean_km,overall_avg_mean_km,overall_min_min_km,overall_avg_min_km,total_within_2km,assigned_amenities_score,amenities_count
₹1.92 cr,,,1050.0,5.0,3.0,4.4,184.0,4.4,4.2,4.5,,,under construction,,,3.0,3.0,,949.0,,,,,19.2083097363891,72.9724465271482,105.0,33.0,dosti realty,dosti west county,unfurnished,thane,thane west,new property,under construction,,,realestateagent,,1.0,0.003161222339304531,1.0,,10.0,9.038095238095238,,,316.3333333333333,316.3333333333333,,,,,,0.8257795613937601,3.8,0.8,1,2.35,1.9,3,3.46,0.1,3,1.9,1.9,4,2,0,1.9,2.682,0.1,1.3199999999999998,13,119.0,16
₹1.48 cr,,,,8.0,4.0,4.0,115.0,4.0,3.9,4.0,,,under construction,,,2.0,2.0,,582.0,,,,1.0,19.215865938964,72.9914374146644,8.0,19.0,rustomjee,rustomjee la vie,unfurnished,thane,majiwada,new property,under construction,,,realestateagent,,1.0,0.003436426116838488,1.0,2.0,,72.75,,,291.0,291.0,582.0,,0.5,,,1.4780681975121663,1.92,0.2,3,0.0001,0.0001,1,1.8,1.8,1,,,0,0,0,0.0001,1.2400333333333333,0.0001,0.6667000000000001,5,362.0,52
₹2.89 cr,,24.0,72.0,1.0,12.0,4.5,47.0,4.7,4.3,4.6,p51700000295,no/rare powercut,under construction,,,3.0,3.0,1.0,1104.0,,,2.0,,19.22146636218051,72.9632815168789,,15.0,tata housing development company ltd.,tata serein,unfurnished,thane,pokharan road number 2,new property,under construction,,,organization,,1.0,0.002717391304347826,1.0,,,,,,368.0,368.0,,1104.0,,0.3333333333333333,,1.7082382293178735,1.5,0.5,4,,,0,1.0250000000000001,0.4,3,,,0,0,0,1.0250000000000001,1.2625000000000002,0.4,0.45,7,298.0,42
₹74.0 lac,,,800.0,5.0,8.0,3.8,59.0,4.0,3.8,3.7,,,under construction,,,1.0,1.0,,381.0,,,,,19.2321621,72.9873688,6.0,33.0,godrej properties,godrej ascend,unfurnished,thane,kolshet road,new property,under construction,,,realestateagent,,1.0,0.0026246719160104987,1.0,,133.33333333333334,63.5,,,381.0,381.0,,,,,,2.2698404022871217,2.1399999999999997,0.4,3,,,0,1.525,0.7,3,,,0,0,0,1.525,1.8324999999999998,0.4,0.55,6,181.0,26
₹4.84 cr,,24.0,200.0,1.0,68.0,3.8,82.0,3.8,4.0,3.9,p51900049757,no/rare powercut,under construction,,,3.0,3.0,,1306.0,,,,,19.012216203088,72.8604594318626,30.0,26.0,lodha group,lodha aura,unfurnished,mumbai,wadala,new property,under construction,,,realestateagent,,1.0,0.002297090352220521,1.0,,6.666666666666667,43.53333333333333,,,435.3333333333333,435.3333333333333,,,,,,6.97083966667561,4.3,4.3,0,3.8499999999999996,2.6,0,4.2,4.2,0,3.525,2.9,0,0,0,3.525,3.9687499999999996,2.6,3.5000000000000004,0,392.0,54
₹2.61 cr,vitrified,24.0,298.0,5.0,102.0,4.0,292.0,3.8,3.9,4.3,p51800032784,no/rare powercut,under construction,,,2.0,2.0,,742.0,,15.0,,,19.0459181155422,72.8975231581492,10.0,103.0,hubtown ltd.,hubtown seasons,unfurnished,mumbai,chembur,new property,under construction,,,organization,,1.0,0.0026954177897574125,1.0,,29.8,74.2,,,371.0,371.0,,,,,,12.369271988327576,2.25,1.3,3,,,0,5.033333333333333,2.7,0,7.26,1.5,1,0,2,1.5,4.010833333333333,1.3,1.75,6,101.0,14
₹3.10 cr,marble,24.0,738.0,2.0,236.0,4.1,379.0,4.0,3.7,4.5,p51800048658,no/rare powercut,under construction,,,3.0,3.0,,1019.0,,45.0,,,19.179282548826244,72.84290686178245,0.38,18.0,chandak group,chandak treesourus,unfurnished,mumbai,malad west,new property,under construction,,,organization,,1.0,0.002944062806673209,1.0,,1942.1052631578948,2681.578947368421,,,339.6666666666667,339.6666666666667,,,,,,23.313021455032096,4.25,0.4,1,,,0,1.58,0.7,3,7.033333333333334,5.6,0,2,1,0.7,2.9326666666666665,0.4,1.6199999999999999,7,61.0,9
₹99.0 lac,,24.0,107.0,1.0,277.0,3.5,41.0,3.4,3.6,3.5,p51800034572,no/rare powercut,under construction,,,1.0,1.0,1.0,444.0,,,2.0,,19.0615645059118,72.880543263673,,32.0,ekdanta constructions and developers,ekdanta 24karat,unfurnished,mumbai,kurla east,new property,under construction,,,realestateagent,,1.0,0.0022522522522522522,1.0,,,,,,444.0,444.0,,444.0,,1.0,,12.442097602188621,2.2,2.1,0,0.85,0.5,2,2.9,2.9,0,1.86,1.2,3,0,0,0.85,1.9525000000000001,0.5,1.675,5,37.0,5
₹1.64 cr,,24.0,385.0,3.0,155.0,4.0,256.0,4.1,3.9,4.1,p51800026393,no/rare powercut,under construction,,,2.0,2.0,1.0,611.0,,,2.0,,19.1749536837097,72.943103519999,7.0,93.0,ashwin sheth group and emami group,sheth montana,unfurnished,mumbai,mulund west,new property,under construction,,,realestateagent,,1.0,0.0032733224222585926,1.0,,55.0,87.28571428571429,,,305.5,305.5,,611.0,,0.5,,26.57305332219651,4.0,1.0,2,5.375025,0.0001,2,2.26002,0.0001,4,5.819999999999999,1.5,2,0,0,2.26002,4.3637612500000005,0.0001,0.62505,10,260.0,36
₹2.31 cr,marble,24.0,,,6.0,3.9,60.0,3.9,3.8,4.0,p51700050457,no/rare powercut,under construction,,,2.0,2.0,1.0,783.0,,,4.0,,19.1949989525044,72.9666959533383,,20.0,hiranandani group,belicia,unfurnished,thane,panch pakhdi,new property,under construction,,,realestateagent,,1.0,0.002554278416347382,1.0,,,,,,391.5,391.5,,783.0,,0.5,,2.3981450886114084,1.3199999999999998,0.1,4,4.8500000000000005,1.4,1,0.9,0.9,2,0.2,0.2,1,0,0,0.2,1.8175000000000001,0.1,0.65,8,,1
₹1.27 cr,"vitrified, marble, granite",24.0,95.0,1.0,11.0,4.1,574.0,4.0,4.2,4.2,p52000055069,no/rare powercut,under construction,,,2.0,2.0,1.0,780.0,,,3.0,,19.072671736351523,73.08082210299678,0.5063,12.0,ak hitech associates,sapphire,unfurnished,navi mumbai,kharghar,new property,under construction,,,realestateagent,,1.0,0.002564102564102564,1.0,,187.63578905787085,1540.588583843571,,,390.0,390.0,,780.0,,0.5,,7.7669182966114905,3.04,1.1,1,2.7600000000000002,1.9,1,4.12,2.3,0,6.0,2.3,0,0,0,2.7600000000000002,3.9800000000000004,1.1,1.9,2,287.0,41
₹1.26 cr,vitrified,24.0,174.0,1.0,376.0,3.5,20.0,3.3,3.8,3.5,p51800035010,no/rare powercut,under construction,,,1.0,2.0,1.0,608.0,,,3.0,,19.0553080482794,72.9228495020468,2.0,32.0,mj shah,centrionx,unfurnished,mumbai,govandi,new property,under construction,,,organization,,2.0,0.001644736842105263,0.5,,87.0,304.0,,,608.0,304.0,,608.0,,1.0,,15.08500328723071,2.06,1.2,3,1.2,1.2,1,3.85,2.3,0,,,0,0,0,1.2,2.3699999999999997,1.2,1.5666666666666664,4,72.0,10
